Round,Average,Calibration
0,24.736845075180742,Excellent calibration
1,477.93679247446624,Poor calibration
2,582.4690575711843,Poor calibration
3,595.4711662223015,Poor calibration
0,549.4619347567398,Poor calibration
1,469.8071430115875,Poor calibration
2,404.30854543755225,Poor calibration
3,386.2240140861372,Poor calibration
0,544.8492550737392,Poor calibration
1,454.4594194499347,Poor calibration
2,395.58153112038525,Poor calibration
3,372.64243811289236,Poor calibration
0,549.0176412900036,Poor calibration
1,444.04481556926544,Poor calibration
2,378.27644447534186,Poor calibration
3,361.3572554393355,Poor calibration
0,469.9164707785588,Poor calibration
1,382.1482900707936,Poor calibration
2,320.49961831866864,Poor calibration
3,300.9752329844253,Poor calibration
0,460.1392561683652,Poor calibration
1,383.67241111475204,Poor calibration
2,323.87009692155027,Poor calibration
3,307.66931707411044,Poor calibration
0,483.674938677541,Poor calibration
1,354.95185650364243,Poor calibration
2,309.1884044339928,Poor calibration
3,294.291103851616,Poor calibration
0,557.2819854373163,Poor calibration
1,460.92015955100925,Poor calibration
2,407.5582701267609,Poor calibration
3,383.8675344209931,Poor calibration
0,0,Excellent calibration
1,0,Excellent calibration
2,0,Excellent calibration
3,0,Excellent calibration
0,559.8838622291901,Poor calibration
1,434.00224801600615,Poor calibration
2,375.57691544221495,Poor calibration
3,357.173725872588,Poor calibration
0,550.9200609924217,Poor calibration
1,428.54698237220913,Poor calibration
2,366.22285968839054,Poor calibration
3,347.1871530519294,Poor calibration
0,548.3353316587525,Poor calibration
1,441.2942559117433,Poor calibration
2,381.0791539242965,Poor calibration
3,362.7395065179031,Poor calibration
0,562.952406845582,Poor calibration
1,447.9922746094758,Poor calibration
2,394.2534046022612,Poor calibration
3,378.52700054355927,Poor calibration
0,570.5298518441602,Poor calibration
1,463.21383733549186,Poor calibration
2,407.6320351396674,Poor calibration
3,383.0962745569828,Poor calibration
0,653.6080750275578,Poor calibration
1,518.6791998718932,Poor calibration
2,440.6126414567897,Poor calibration
3,423.339634104837,Poor calibration
0,575.5228592380214,Poor calibration
1,491.0027476542697,Poor calibration
2,424.15885819011703,Poor calibration
3,396.9591934255339,Poor calibration
0,545.2222031751185,Poor calibration
1,454.5217822200285,Poor calibration
2,394.2112428988967,Poor calibration
3,371.05922644648626,Poor calibration
